position,team,playedGames,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,table_type,l_id,crestUrl,shortName
12,West Ham United FC,3,1,0,2,3,4,8,-4,AWAY,PL,http://upload.wikimedia.org/wikipedia/de/e/e0/West_Ham_United_FC.svg,West Ham
13,AFC Bournemouth,3,1,0,2,3,2,7,-5,AWAY,PL,https://upload.wikimedia.org/wikipedia/de/4/41/Afc_bournemouth.svg,Bournemouth
14,Newcastle United FC,3,0,2,1,2,1,2,-1,AWAY,PL,http://upload.wikimedia.org/wikipedia/de/5/56/Newcastle_United_Logo.svg,Newcastle
15,Everton FC,3,0,2,1,2,4,6,-2,AWAY,PL,http://upload.wikimedia.org/wikipedia/de/f/f9/Everton_FC.svg,Everton
16,Burnley FC,3,0,1,2,1,2,5,-3,AWAY,PL,https://upload.wikimedia.org/wikipedia/en/0/02/Burnley_FC_badge.png,Burnley
17,Brighton & Hove Albion FC,3,0,1,2,1,2,5,-3,AWAY,PL,https://upload.wikimedia.org/wikipedia/en/f/fd/Brighton_%26_Hove_Albion_logo.svg,Brighton Hove
18,Fulham FC,3,0,1,2,1,3,8,-5,AWAY,PL,http://upload.wikimedia.org/wikipedia/de/a/a8/Fulham_fc.svg,Fulham
19,Cardiff City FC,3,0,1,2,1,1,6,-5,AWAY,PL,https://upload.wikimedia.org/wikipedia/en/3/3c/Cardiff_City_crest.svg,Cardiff
20,Huddersfield Town AFC,3,0,1,2,1,3,10,-7,AWAY,PL,https://upload.wikimedia.org/wikipedia/en/5/5a/Huddersfield_Town_A.F.C._logo.svg,Huddersfield
1,FC Bayern München,5,4,1,0,13,12,3,9,TOTAL,BL1,https://upload.wikimedia.org/wikipedia/commons/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg,Bayern M
2,BV Borussia 09 Dortmund,5,3,2,0,11,15,3,12,TOTAL,BL1,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg,Dortmund
3,SV Werder Bremen,5,3,2,0,11,10,6,4,TOTAL,BL1,http://upload.wikimedia.org/wikipedia/commons/b/be/SV-Werder-Bremen-Logo.svg,Bremen
4,Hertha BSC,5,3,1,1,10,10,7,3,TOTAL,BL1,https://upload.wikimedia.org/wikipedia/commons/8/81/Hertha_BSC_Logo_2012.svg,Hertha BSC
5,Borussia Mönchengladbach,5,3,1,1,10,10,7,3,TOTAL,BL1,https://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_M%C3%B6nchengladbach_logo.svg,M'gladbach
6,VfL Wolfsburg,5,2,2,1,8,8,7,1,TOTAL,BL1,https://upload.wikimedia.org/wikipedia/commons/f/f3/Logo-VfL-Wolfsburg.svg,Wolfsburg
7,1. FSV Mainz 05,5,2,2,1,8,4,3,1,TOTAL,BL1,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,Mainz
8,RB Leipzig,5,2,2,1,8,8,8,0,TOTAL,BL1,https://upload.wikimedia.org/wikipedia/en/0/04/RB_Leipzig_2014_logo.svg,RB Leipzig
9,TSG 1899 Hoffenheim,5,2,1,2,7,9,8,1,TOTAL,BL1,https://upload.wikimedia.org/wikipedia/commons/e/e7/Logo_TSG_Hoffenheim.svg,Hoffenheim
10,SC Freiburg,5,2,1,2,7,8,9,-1,TOTAL,BL1,http://upload.wikimedia.org/wikipedia/de/f/f1/SC-Freiburg_Logo-neu.svg,Freiburg
